name,inList,now,minn,last order,order1:2:2023
110,128,197,100,0,0
100,66,109,200,0,4
150,66,79,60,0,0
210,128,213,100,0,0
200,66,456,140,6,0
250,66,139,60,0,0
310,128,165,100,0,0
300,66,722,300,10,0
350,66,139,80,0,0
710,128,120,100,0,0
700,66,421,140,6,0
750,66,89,60,0,0
800,66,175,60,2,0
900,66,53,80,0,2
950,66,181,60,2,0
3050,66,164,40,0,0
3150,66,127,60,0,0
3300,66,527,200,8,0
3450,66,77,50,0,0
3600,66,89,80,0,0
3750,66,70,40,0,0
3900,66,96,40,0,0
4150,66,70,50,0,0
4400,66,155,90,2,0
4250,66,39,50,0,1
4350,66,168,90,2,0
90402S,66,75,30,0,0
90202S,60,29,20,0,0
90502S,60,34,20,0,0
90102S,60,80,20,0,0
90602S,60,135,20,2,0
90302S,60,40,20,0,0
21301S,60,49,20,0,0
21002S,60,51,50,0,0
20902S,60,60,20,0,0
8500S,112,90,20,0,0
8400S,100,40,20,0,0
60601S,60,70,20,0,0
102S,60,65,40,0,0
10401S,60,73,20,0,0
10501S,60,85,20,0,0
10201S,60,30,20,0,0
10301S,60,72,20,1,0
10101S,60,184,20,0,0
101S,66,66,30,0,0
4550S,45,75,30,0,0
4500S,45,60,30,0,0
30501S,45,60,40,0,0
6900S,60,66,20,0,0
6800S,60,60,20,0,0
6700S,60,20,20,0,0
6500S,48,28,20,0,0
100 ETL B,0,0,0,0,0
700 ETL B,0,0,0,0,0
5001,56,102,40,0,0
5000,55,95,50,0,0
5100,48,131,60,2,0
5200,48,82,60,0,0
5300,55,59,30,0,0
5400,48,65,40,0,0
5500,48,59,40,0,0
5600,48,58,40,0,0
5700,48,44,25,0,0
5800,48,60,25,0,0
5901,56,111,120,0,3
5900,48,94,120,0,3
6000,48,564,250,12,0
6100,55,65,120,0,3
6500,60,78,20,0,0
6800,66,40,24,0,0
6900,75,90,50,0,0
7000,75,75,65,0,0
7300,60,45,25,0,0
7500,60,84,25,0,0
9200,66,247,120,4,0
1001,56,48,20,0,0
1003,48,63,20,0,0
7800,60,58,80,0,2
9400,60,813,300,12,0
2017,0,-107,0,0,0
9600,60,22,50,0,1
7700,0,0,0,0,0
11100,66,70,80,0,2
1005,66,47,40,0,0
4800,48,110,40,0,0
8000,160,113,30,0,0
8100,110,139,30,0,0
8200,143,65,60,0,0
8300,128,158,30,0,0
8400,160,95,30,0,0
4900,48,266,140,3,0
4910,66,180,140,3,0
4700,66,66,50,0,0
4500,48,69,30,0,0
4550,52,28,30,0,1
410,128,127,100,0,0
400,66,120,80,0,0
450,60,75,40,0,0
9500,66,82,60,0,0
9510,60,67,40,0,0
510,128,137,100,0,0
500,60,104,100,0,0
550,66,69,40,0,0
9550,66,110,220,0,4
9551,60,46,50,0,1
6200,48,97,50,2,0
610,128,190,100,0,0
600,60,42,65,0,2
650,66,110,30,0,0
9700,66,72,90,0,2
9710,66,54,40,0,0
9900,168,115,30,0,0
1300,66,143,90,0,0
1350,66,90,40,0,0
6300,48,69,40,0,0
9800,66,39,36,0,0
1510,128,127,80,0,0
1500,66,308,140,5,0
1550,66,63,50,0,0
6400,66,130,50,0,0
6410,66,64,40,0,0
7600,66,70,30,0,0
1600,66,54,50,0,0
6600,48,29,25,0,0
2104,128,220,100,0,0
2004,66,53,50,0,0
2450,66,70,40,0,0
2006,48,80,30,0,0
2008,66,40,25,0,0
2014,66,36,50,0,1
2015,48,32,30,0,0
