37,000
1,000
3,000
18,000
3,000
2,000
5,000
6,000
2,000
1,000
1,000
2,000
3,000
3,000
5,000
1,000
2,000
9,000
9,000
8,000
6,000
6,000
1,000
1,000
2,000
16,000
3,000
6,000
9,000
46,000
3,000
3,000
6,000
1,000
6,000
2,000
4,000
3,000
9,000
1,000
3,000
5,000
1,000
4,000
2,000
2,000
1,000
9,000
47,000
2,000
6,000
25,000
4,000
28,000
2,000
10,000
5,000
2,000
3,000
1,000
17,000
8,000
5,000
8,000
2,000
1,000
8,000
11,000
14,000
3,000
1,000
4,000
4,000
4,000
6,000
4,000
1,000
3,000
3,000
2,000
14,000
13,000
5,000
38,000
14,000
1,000
6,000
6,000
3,000
1,000
8,000
1,000
15,000
1,000
1,000
2,000
1,000
7,000
1,000
2,000
9,000
1,000
2,000
5,000
16,000
28,000
43,000
2,000
10,000
2,000
3,000
1,000
8,000
3,000
6,000
2,000
9,000
2,000
9,000
2,000
29,000
19,000
13,000
