,name,inList,now,minn,last order
138,21200S,66,66,30,0
139,21102S,66,66,30,0
140,1005S,66,100,30,0
141,70601S,66,100,30,0
142,2007S,66,35,30,0
143,21601S,66,79,30,0
144,90702S,66,35,30,0
145,21401S,66,109,30,0
146,9550S,66,33,30,0
147,21501S,66,130,30,0
148,20802S,66,54,30,0
149,30502S,48,22,15,0
150,103S,66,33,15,0
151,2006S,48,24,15,0
152,2008S,66,40,20,0
153,1007,66,69,140,3
154,3101,45,102,300,7
155,100В,40,15,24,1
156,200В,40,58,20,0
157,300В,40,55,20,0
158,700В,40,40,20,0
159,2014В,40,22,20,0
160,2020В,0,0,0,0
161,2009В,0,0,0,0
162,1900В,0,0,0,0
163,1800В,0,0,0,0
164,2001В,0,0,0,0
165,2025,66,62,60,0
166,2026,66,77,60,0
167,2027,66,107,60,0
168,2028,66,86,60,0
169,2029,66,80,60,0
170,2030,66,96,60,0
171,2031,66,110,60,0
172,2032,66,62,60,0
173,2033,66,90,60,0
174,2034,66,126,60,0
175,2035,66,81,60,0
176,2036,66,69,60,0
177,81736,48,79,40,0
178,2502,120,286,100,0
179,10255,66,104,100,0
180,2465,66,211,100,0
181,10262,66,107,100,0
182,9853,66,160,70,0
183,9808,66,197,70,0
184,8016,66,130,60,0
185,7606,66,69,60,0
186,4704,48,49,50,2
187,6609,48,114,100,0
188,1651,0,-1,0,0
189,1613,0,-2,0,0
190,1620,0,0,0,0
191,1637,0,0,0,0
192,1644,0,0,0,0
193,1668,0,0,0,0
194,1675,0,-3,0,0
195,1682,0,-5,0,0
196,1699,0,-3,0,0
197,1446,0,0,0,0
198,1453,0,0,0,0
199,1422,0,0,0,0
200,1439,0,-2,0,0
201,81248,0,-1,0,0
202,10767,0,-6,0,0
203,10750,0,-1,0,0
204,9752,0,0,0,0
205,1700,0,0,0,0
206,1800,0,0,0,0
207,1900,0,0,0,0
208,2012,0,0,0,0
209,2016,0,0,0,0
210,2500,0,0,0,0
211,1004,0,0,0,0
212,2022,0,-1,0,0
213,TRX 2 ,0,0,0,0
214,Melaniq,0,0,0,0
215,DRM 4,0,0,0,0
216,Immune +,0,0,0,0
