,Unnamed: 0,name,inList,now,minn,last order
115,115,9800,66,57,35,0
116,116,1510,128,160,80,0
117,117,1500,66,180,140,0
118,118,1550,66,90,50,0
119,119,6400,66,136,50,0
120,120,6410,66,60,40,0
121,121,7600,66,73,30,0
122,122,1600,66,73,50,0
123,123,6600,48,31,25,0
124,124,2104,128,218,100,0
125,125,2004,66,61,50,0
126,126,2450,66,77,40,0
127,127,2006,48,80,30,0
128,128,2008,66,40,25,0
129,129,2014,66,65,50,0
130,130,2015,48,59,30,0
131,131,2020,66,111,50,0
132,132,2021,48,140,50,0
133,133,Н060,66,93,60,0
134,134,Н069,66,110,60,0
135,135,Н075,50,109,80,0
136,136,Н070,48,752,400,0
137,137,Н071,66,143,135,0
138,138,21200S,66,66,30,0
139,139,21102S,66,66,30,0
140,140,1005S,66,100,30,0
141,141,70601S,66,100,30,0
142,142,2007S,66,35,30,0
143,143,21601S,66,79,30,0
144,144,90702S,66,35,30,0
145,145,21401S,66,109,30,0
146,146,9550S,66,33,30,0
147,147,21501S,66,130,30,0
148,148,20802S,66,54,30,0
149,149,30502S,48,22,15,0
150,150,103S,66,33,15,0
151,151,2006S,48,24,15,0
152,152,2008S,66,40,20,0
153,153,1007,66,267,140,0
154,154,3101,45,417,300,0
155,155,100В,40,55,24,0
156,156,200В,40,58,20,0
157,157,300В,40,55,20,0
158,158,700В,40,40,20,0
159,159,2014В,40,22,20,0
160,160,2020В,0,0,0,0
161,161,2009В,0,0,0,0
162,162,1900В,0,0,0,0
163,163,1800В,0,0,0,0
164,164,2001В,0,0,0,0
165,165,2025,66,62,60,0
166,166,2026,66,77,60,0
167,167,2027,66,107,60,0
168,168,2028,66,86,60,0
169,169,2029,66,80,60,0
170,170,2030,66,96,60,0
171,171,2031,66,110,60,0
172,172,2032,66,62,60,0
173,173,2033,66,90,60,0
174,174,2034,66,126,60,0
175,175,2035,66,81,60,0
176,176,2036,66,69,60,0
177,177,81736,48,79,40,0
178,178,2502,120,286,100,0
179,179,10255,66,104,100,0
180,180,2465,66,211,100,0
181,181,10262,66,107,100,0
182,182,9853,66,160,70,0
183,183,9808,66,197,70,0
184,184,8016,66,130,60,0
185,185,7606,66,69,60,0
186,186,4704,48,145,50,0
187,187,6609,48,114,100,0
188,188,1651,0,-1,0,0
189,189,1613,0,-2,0,0
190,190,1620,0,0,0,0
191,191,1637,0,0,0,0
192,192,1644,0,0,0,0
193,193,1668,0,0,0,0
194,194,1675,0,-3,0,0
195,195,1682,0,-5,0,0
196,196,1699,0,-3,0,0
197,197,1446,0,0,0,0
198,198,1453,0,0,0,0
199,199,1422,0,0,0,0
200,200,1439,0,-2,0,0
201,201,81248,0,-1,0,0
202,202,10767,0,-6,0,0
203,203,10750,0,-1,0,0
204,204,9752,0,0,0,0
205,205,1700,0,0,0,0
206,206,1800,0,0,0,0
207,207,1900,0,0,0,0
208,208,2012,0,0,0,0
209,209,2016,0,0,0,0
210,210,2500,0,0,0,0
211,211,1004,0,0,0,0
212,212,2022,0,-1,0,0
213,213,TRX 2 ,0,0,0,0
214,214,Melaniq,0,0,0,0
215,215,DRM 4,0,0,0,0
216,216,Immune +,0,0,0,0
